fight_id,event_id,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,event_name,event_date,fight_stat_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fighter_f_name,fighter_l_name,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d
7218,664,2976.0,2884.0,2884.0,5,F,Lightweight,M,KO/TKO,"to    
      Leg Injury",2,2:03,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14436,2976.0,0.0,34.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0:00,Rafael,Fiziev,172.72,155.0,180.34,Switch,1993-03-05,12.0,3.0,0.0
7218,664,2976.0,2884.0,2884.0,5,F,Lightweight,M,KO/TKO,"to    
      Leg Injury",2,2:03,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14435,2884.0,0.0,42.0,17.0,40.0,16.0,6.0,1.0,0.0,0.0,1:28,Mateusz,Gamrot,177.8,155.0,177.8,Southpaw,1990-12-11,23.0,2.0,0.0
7217,664,1662.0,2464.0,1662.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14434,1662.0,0.0,59.0,37.0,40.0,23.0,15.0,5.0,1.0,0.0,7:33,Bryce,Mitchell,177.8,145.0,177.8,Southpaw,1994-10-04,16.0,2.0,0.0
7217,664,1662.0,2464.0,1662.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14433,2464.0,0.0,72.0,32.0,55.0,18.0,0.0,0.0,0.0,1.0,2:11,Dan,Ige,170.18,145.0,180.34,Orthodox,1991-08-06,17.0,7.0,0.0
7216,664,981.0,179.0,981.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,2,2:42,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14432,981.0,0.0,130.0,90.0,102.0,70.0,1.0,1.0,0.0,0.0,2:03,Marina,Rodriguez,167.64,115.0,165.1,Orthodox,1987-04-29,17.0,3.0,2.0
7216,664,981.0,179.0,981.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,2,2:42,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14431,179.0,0.0,37.0,16.0,32.0,13.0,6.0,1.0,0.0,0.0,2:49,Michelle,Waterson-Gomez,160.02,115.0,157.48,Orthodox,1986-01-06,18.0,12.0,0.0
7215,664,3831.0,2974.0,3831.0,3,F,Welterweight,M,Submission,Rear Naked Choke,2,4:32,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14430,3831.0,0.0,105.0,63.0,80.0,45.0,2.0,1.0,1.0,0.0,3:30,Bryan,Battle,185.42,170.0,195.58,Orthodox,1994-09-21,11.0,2.0,0.0
7215,664,3831.0,2974.0,3831.0,3,F,Welterweight,M,Submission,Rear Naked Choke,2,4:32,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14429,2974.0,0.0,57.0,29.0,51.0,25.0,2.0,0.0,0.0,0.0,0:33,AJ,Fletcher,177.8,170.0,170.18,Switch,1997-02-18,10.0,3.0,0.0
7214,664,1108.0,2320.0,2320.0,3,F,Featherweight,M,Submission,Guillotine Choke From Bottom Guard,1,3:12,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14428,1108.0,0.0,10.0,0.0,9.0,0.0,3.0,2.0,1.0,0.0,1:58,Ricardo,Ramos,175.26,145.0,182.88,Orthodox,1995-08-01,16.0,5.0,0.0
7214,664,1108.0,2320.0,2320.0,3,F,Featherweight,M,Submission,Guillotine Choke From Bottom Guard,1,3:12,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,14427,2320.0,0.0,10.0,8.0,9.0,8.0,0.0,0.0,1.0,0.0,0:00,Charles,Jourdain,175.26,145.0,175.26,Switch,1995-11-27,15.0,6.0,1.0
